@relation learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1

@attribute NoRows numeric
@attribute NoColumn numeric
@attribute TotalCellNo numeric
@attribute CellEmpty numeric
@attribute CellNumeric numeric
@attribute CellSemiNumeric numeric
@attribute CellText numeric
@attribute ContainsAdverse numeric
@attribute containsAge numeric
@attribute containsBaseline numeric
@attribute containsCharacteristicCap numeric
@attribute containsDemographic numeric
@attribute ContainsExclusion numeric
@attribute ContainsInclusion numeric
@attribute containsN numeric
@attribute containsPatientsCap numeric
@attribute containsPatientsCell numeric
@attribute ContainsSideEffect numeric
@attribute ContainsSignOrSymptomAnnotation numeric
@attribute containsEglibility numeric
@attribute containsToxicity numeric
@attribute containsInclusionExclusionCell numeric
@attribute containsHaematologic numeric
@attribute containsTrialCap numeric
@attribute clas {AdverseEvent,InclusionExclusion,Other,BaselineCharacteristic}

@data
24,5,120,5,8.333333,50.833333,35.833333,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,AdverseEvent
12,4,48,6.25,20.833333,41.666667,31.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AdverseEvent
20,6,120,15.833333,3.333333,58.333333,22.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,BaselineCharacteristic
16,8,128,0,71.09375,5.46875,23.4375,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,AdverseEvent
10,4,40,0,7.5,60,32.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
6,3,18,0,0,55.555556,44.444444,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Other
11,9,99,33.333333,36.363636,0,30.30303,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
36,4,144,26.388889,30.555556,16.666667,26.388889,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
19,7,133,1.503759,48.120301,5.263158,45.112782,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
46,7,322,40.062112,17.080745,31.677019,11.180124,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
16,5,80,26.25,0,50,23.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
4,3,12,33.333333,0,0,66.666667,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,InclusionExclusion
28,10,280,0.714286,74.285714,8.928571,16.071429,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
18,1,18,16.666667,0,0,83.333333,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,InclusionExclusion
36,4,144,16.666667,0,54.166667,29.166667,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
